artistName,followers,image,popularity,genre
Pitbull,9276653,https://i.scdn.co/image/ab6761610000e5eb2dc40ac263ef07c16a95af4e,87,dance pop
Future,11456558,https://i.scdn.co/image/ab6761610000e5eb24e41f491b129093a6fee383,94,atl hip hop
Justin Bieber,60254768,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,97,canadian pop
Miranda Lambert,3154682,https://i.scdn.co/image/ab6761610000e5ebd155caf6e83268ad61be09cd,77,contemporary country
Ava Max,5200044,https://i.scdn.co/image/ab6761610000e5eb27a772a3d3f62f6fc990ce0f,86,dance pop
Carla Morrison,3015634,https://i.scdn.co/image/ab6761610000e5eb13cbe72a36665158e26fa19c,75,mexican pop
Lil Tjay,5031102,https://i.scdn.co/image/ab6761610000e5ebbc1085cf5d08b85cd1836ca2,87,brooklyn drill
beabadoobee,1000444,https://i.scdn.co/image/ab6761610000e5ebc8b4ad8a13f54ee2a5184838,76,bedroom pop
Tegan and Sara,577250,https://i.scdn.co/image/ab6761610000e5ebf9729da14c09a18e655ba469,62,canadian indie
Raphaella,6502,https://i.scdn.co/image/ab6761610000e5ebcdc923ffdbd4e082a668af9e,58,uk alternative pop
Giveon,2102194,https://i.scdn.co/image/ab6761610000e5eb20db290beb52475704f64403,83,pop
MAX,746333,https://i.scdn.co/image/ab6761610000e5eb09ce0644c08fa03347ef8928,74,dance pop
Sam Smith,19420812,https://i.scdn.co/image/ab6761610000e5eb7f9cb6cb3ac6f8a055153ced,87,dance pop
Chris Janson,268720,https://i.scdn.co/image/ab6761610000e5ebb0b4302f5838ff8418f6031e,66,contemporary country
Arcade Fire,2073409,https://i.scdn.co/image/ab6761610000e5eba044e15eee771205956dcbf8,72,alternative dance
Khalid,15201201,https://i.scdn.co/image/ab6761610000e5eb31072db9da0311ecfabe96bf,90,pop
Kellin Quinn,47690,https://i.scdn.co/image/ab6761610000e5ebfb4ebdcfe9f52548d366f392,66,undefined
Willie Nelson,1681365,https://i.scdn.co/image/ab6772690000c46ca07b9db029b749adaba3c618,74,classic country pop
Rammstein,7112189,https://i.scdn.co/image/ab6761610000e5eb39a93f3d5cdbcdf4a2ce88e5,85,alternative metal
Jayda G,50765,https://i.scdn.co/image/ab6761610000e5ebe2a379d1ca606114d010002b,56,canadian electronic
VÃ­ctor Manuelle,1359322,https://i.scdn.co/image/ab6761610000e5ebe3f87bc61eaedafe14b814a9,68,latin
